"id","cdate","udate","code","open","high","low","close","holding","vol","long","short","value","return","udat"
"1","2018-07-25 09:54:51","2018-07-25 09:54:51","RU1905","11920","12300","11920","12195","20526","9114","","","","","var hq_str_RU1905=æ©¡èƒ¶1905,095431,11920.00,12300.00,11920.00,11920.00,12195.00,12200.00,12195.00,12148.00,11985.00,2,3,20526,9114,æ²ª,æ©¡èƒ¶,2018-07-25,0,12505.000,11840.000,12505.000,11840.000,12750.000,11840.000,14700.000,11840.000,264.505;"
"2","2018-07-25 09:54:51","2018-07-25 09:54:51","SR1905","4890","4952","4890","4934","86636","17428","","","","","var hq_str_SR1905=ç™½ç³–1905,095438,4890.00,4952.00,4890.00,4885.00,4933.00,4935.00,4934.00,4931.00,4877.00,6,1,86636,17428,éƒ‘,ç™½ç³–,2018-07-25,0,4988.000,4846.000,5011.000,4788.000,5246.000,4788.000,5548.000,4788.000,55.557;"
"3","2018-07-25 09:54:51","2018-07-25 09:54:51","SR1809","4850","4892","4844","4861","382304","370506","","","","","var hq_str_SR1809=ç™½ç³–1809,095438,4850.00,4892.00,4844.00,4842.00,4861.00,4862.00,4861.00,4872.00,4831.00,108,80,382304,370506,éƒ‘,ç™½ç³–,2018-07-25,1,4949.000,4803.000,4949.000,4752.000,5180.000,4752.000,5569.000,4752.000,59.792;"
"4","2018-07-25 09:54:51","2018-07-25 09:54:51","J1809","2121","2147","2119","2132","244284","200150","","","","","var hq_str_J1809=ç„¦ç‚­1809,095438,2121.00,2147.00,2119.00,2119.00,2131.00,2132.00,2132.00,2133.50,2106.00,18,15,244284,200150,è¿ž,ç„¦ç‚­,2018-07-25,1,2119.000,1993.000,2119.000,1973.500,2124.000,1971.500,2205.000,1940.500,54.371;"
"5","2018-07-25 09:54:51","2018-07-25 09:54:51","J1901","2137","2171","2136","2152","93288","57680","","","","","var hq_str_J1901=ç„¦ç‚­1901,095438,2137.00,2171.00,2136.00,2137.00,2152.00,2152.50,2152.00,2153.00,2122.00,5,12,93288,57680,è¿ž,ç„¦ç‚­,2018-07-25,0,2138.000,1992.500,2138.000,1963.000,2138.000,1922.000,2155.000,1911.000,51.478;"
"6","2018-07-25 09:54:52","2018-07-25 09:54:52","J1905","2039","2050","2028","2040","880","240","","","","","var hq_str_J1905=ç„¦ç‚­1905,095413,2039.00,2050.00,2028.00,2030.00,2034.00,2044.50,2040.00,2038.00,2027.00,1,1,880,240,è¿ž,ç„¦ç‚­,2018-07-25,0,2036.000,1932.500,2036.000,1905.000,2036.000,1880.000,2074.000,1871.500,40.048;"
"7","2018-07-25 09:57:00","2018-07-25 09:57:00","RU1905","11920","12300","11920","12195","20524","9116","","","","","var hq_str_RU1905=æ©¡èƒ¶1905,095645,11920.00,12300.00,11920.00,11920.00,12195.00,12200.00,12195.00,12148.00,11985.00,3,2,20524,9116,æ²ª,æ©¡èƒ¶,2018-07-25,0,12505.000,11840.000,12505.000,11840.000,12750.000,11840.000,14700.000,11840.000,264.505;"
"8","2018-07-25 09:57:00","2018-07-25 09:57:00","SR1905","4890","4952","4890","4935","86634","17462","","","","","var hq_str_SR1905=ç™½ç³–1905,095645,4890.00,4952.00,4890.00,4885.00,4934.00,4936.00,4935.00,4931.00,4877.00,1,3,86634,17462,éƒ‘,ç™½ç³–,2018-07-25,0,4988.000,4846.000,5011.000,4788.000,5246.000,4788.000,5548.000,4788.000,55.557;"
"9","2018-07-25 09:57:01","2018-07-25 09:57:01","SR1809","4850","4892","4844","4863","382220","372002","","","","","var hq_str_SR1809=ç™½ç³–1809,095645,4850.00,4892.00,4844.00,4842.00,4862.00,4863.00,4863.00,4872.00,4831.00,148,75,382220,372002,éƒ‘,ç™½ç³–,2018-07-25,1,4949.000,4803.000,4949.000,4752.000,5180.000,4752.000,5569.000,4752.000,59.792;"
"10","2018-07-25 09:57:01","2018-07-25 09:57:01","J1809","2121","2147","2119","2133","244374","200720","","","","","var hq_str_J1809=ç„¦ç‚­1809,095648,2121.00,2147.00,2119.00,2119.00,2132.00,2133.00,2133.00,2133.50,2106.00,40,8,244374,200720,è¿ž,ç„¦ç‚­,2018-07-25,1,2119.000,1993.000,2119.000,1973.500,2124.000,1971.500,2205.000,1940.500,54.371;"
"11","2018-07-25 09:57:01","2018-07-25 09:57:01","J1901","2137","2171","2136","2154","93330","57796","","","","","var hq_str_J1901=ç„¦ç‚­1901,095646,2137.00,2171.00,2136.00,2137.00,2153.50,2154.50,2154.00,2153.00,2122.00,6,5,93330,57796,è¿ž,ç„¦ç‚­,2018-07-25,0,2138.000,1992.500,2138.000,1963.000,2138.000,1922.000,2155.000,1911.000,51.478;"
"12","2018-07-25 09:57:01","2018-07-25 09:57:01","J1905","2039","2050","2028","2040","880","240","","","","","var hq_str_J1905=ç„¦ç‚­1905,095413,2039.00,2050.00,2028.00,2030.00,2034.00,2044.50,2040.00,2038.00,2027.00,1,1,880,240,è¿ž,ç„¦ç‚­,2018-07-25,0,2036.000,1932.500,2036.000,1905.000,2036.000,1880.000,2074.000,1871.500,40.048;"
"13","2018-07-25 09:57:34","2018-07-25 09:57:34","RU1905","11920","12300","11920","12200","20526","9118","","","","","var hq_str_RU1905=æ©¡èƒ¶1905,095728,11920.00,12300.00,11920.00,11920.00,12190.00,12195.00,12200.00,12148.00,11985.00,6,1,20526,9118,æ²ª,æ©¡èƒ¶,2018-07-25,0,12505.000,11840.000,12505.000,11840.000,12750.000,11840.000,14700.000,11840.000,264.505;"
